game_season,game_result,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,pf,tov,pts,plus_minus
18,W (+26),45:21,7,16,.438,2,7,.286,6,7,.857,1,5,6,15,0,1,4,1,22,+21
19,L (-4),45:40,14,32,.438,5,16,.313,10,12,.833,1,5,6,9,0,2,4,4,43,+3
20,W (+2),43:56,13,25,.520,6,11,.545,1,1,1.000,0,4,4,10,3,0,3,8,33,+5
21,L (-4),39:07,5,12,.417,1,5,.200,9,11,.818,0,2,2,9,0,0,6,6,20,-18
22,L (-4),42:22,8,17,.471,4,7,.571,10,11,.909,0,6,6,7,3,0,2,6,30,-4
23,W (+11),32:40,11,19,.579,2,7,.286,4,4,1.000,1,3,4,11,3,0,3,3,28,+22
24,L (-2),40:22,12,28,.429,6,16,.375,0,0,,0,2,2,15,4,0,1,5,30,-5
25,W (+19),32:46,5,15,.333,4,9,.444,4,4,1.000,1,5,6,10,3,0,2,1,18,+26
26,W (+8),35:14,5,14,.357,2,3,.667,2,4,.500,0,3,3,7,2,1,4,2,14,+8
27,W (+2),42:29,5,17,.294,2,6,.333,3,3,1.000,1,5,6,11,1,0,1,2,15,+8
28,W (+29),33:33,5,17,.294,1,6,.167,3,5,.600,3,10,13,16,1,0,3,7,14,+27
29,W (+4),48:12,10,23,.435,5,10,.500,4,5,.800,0,9,9,11,2,1,3,5,29,+2
30,W (+13),29:35,4,10,.400,1,5,.200,0,0,,0,5,5,8,0,0,1,6,9,+21
31,W (+9),43:43,13,22,.591,8,15,.533,2,3,.667,0,2,2,12,2,0,4,4,36,+16
32,W (+1),34:39,7,15,.467,1,7,.143,7,8,.875,0,8,8,9,5,0,5,9,22,+12
33,W (+16),37:38,5,17,.294,1,5,.200,3,3,1.000,1,2,3,10,1,1,5,2,14,+35
34,W (+21),36:14,5,18,.278,2,11,.182,3,4,.750,0,0,0,6,1,0,2,7,15,+9
35,L (-4),45:28,11,25,.440,2,10,.200,10,10,1.000,0,5,5,7,3,0,5,7,34,-1
36,W (+2),40:08,7,18,.389,3,8,.375,2,3,.667,1,6,7,4,1,0,1,4,19,+5
37,L (-7),39:41,7,19,.368,4,13,.308,6,7,.857,0,5,5,7,0,0,4,2,24,+4
38,L (-6),37:57,11,18,.611,6,10,.600,9,11,.818,2,1,3,11,3,0,2,7,37,-10
39,W (+10),37:49,10,22,.455,2,9,.222,6,6,1.000,1,5,6,8,4,0,2,0,28,+15
40,L (-8),41:28,9,20,.450,3,11,.273,3,4,.750,0,3,3,9,0,0,2,2,24,-4
41,L (-1),36:53,12,21,.571,6,10,.600,3,3,1.000,1,2,3,15,1,0,3,5,33,-3
42,W (+15),34:38,13,23,.565,5,8,.625,7,10,.700,1,6,7,8,2,0,1,2,38,+12
43,L (-3),37:43,8,23,.348,2,7,.286,5,6,.833,0,2,2,4,4,0,5,6,23,-9
44,W (+19),33:41,8,10,.800,4,4,1.000,2,2,1.000,0,4,4,7,1,1,3,3,22,+23
45,W (+5),38:06,14,26,.538,8,13,.615,8,9,.889,0,2,2,4,0,0,0,2,44,+15
46,L (-16),38:13,8,18,.444,1,7,.143,0,0,,1,2,3,11,0,0,2,2,17,-18
47,W (+15),42:45,13,19,.684,4,6,.667,4,4,1.000,0,3,3,9,1,0,3,2,34,+12
48,L (-13),41:09,10,20,.500,3,10,.300,5,6,.833,1,1,2,9,0,0,2,2,28,-15
49,W (+43),27:17,7,11,.636,6,9,.667,3,3,1.000,2,3,5,8,1,0,3,7,23,+34
50,L (-1),39:13,8,14,.571,4,4,1.000,9,9,1.000,1,4,5,7,1,0,3,5,29,+4
51,W (+9),35:51,5,14,.357,1,4,.250,2,3,.667,0,1,1,8,1,0,2,0,13,+12
52,W (+3),38:26,8,15,.533,5,8,.625,4,4,1.000,0,2,2,6,2,0,5,2,25,+13
53,W (+7),31:58,7,13,.538,3,4,.750,0,0,,0,5,5,8,2,0,2,2,17,+12
54,W (+8),35:44,6,15,.400,3,9,.333,4,5,.800,3,5,8,9,0,0,0,4,19,-2
55,L (-20),28:19,2,10,.200,1,5,.200,0,0,,0,3,3,5,0,0,0,5,5,-12
